Run,Dataset,Classifier,Classifier_accuracy,Classifier_time,DESFH_accuracy,DESFH_time,EnsemblePruneFH_accuracy,EnsemblePruneFH_time,Number_of_hyperboxes,Ensemble_members_removed,n_estimators,overlap_threshold,threshold_remove
3,pima,BaggingClassifier,0.73438,0.02109,0.73438,0.22543,0.71875,0.06191,110,3,10,0.01,0.1
3,pima,RandomForestClassifier,0.73958,0.0186,0.73958,0.2697,0.72917,0.11558,124,3,10,0.01,0.1
3,pima,AdaBoostClassifier,0.76562,0.01554,0.77083,0.4723,0.77083,0.103,136,3,10,0.01,0.1
4,pima,BaggingClassifier,0.73438,0.02309,0.73438,0.24346,0.73438,0.0986,110,3,10,0.01,0.1
4,pima,RandomForestClassifier,0.74479,0.01338,0.74479,0.25304,0.74479,0.08176,109,1,10,0.01,0.1
4,pima,AdaBoostClassifier,0.74479,0.03275,0.70833,0.55086,0.52083,0.07345,118,5,10,0.01,0.1
5,pima,BaggingClassifier,0.73438,0.02006,0.73438,0.22892,0.73438,0.10713,141,0,10,0.01,0.1
5,pima,RandomForestClassifier,0.72917,0.01588,0.72917,0.22493,0.72917,0.19924,155,0,10,0.01,0.1
5,pima,AdaBoostClassifier,0.72396,0.01823,0.74479,0.43473,0.73958,0.11281,149,1,10,0.01,0.1
6,pima,BaggingClassifier,0.79167,0.02006,0.79167,0.24898,0.79167,0.08157,121,0,10,0.01,0.1
6,pima,RandomForestClassifier,0.76562,0.01537,0.76562,0.26058,0.75,0.12609,135,1,10,0.01,0.1
6,pima,AdaBoostClassifier,0.79167,0.01524,0.70312,0.55759,0.42708,0.08579,144,7,10,0.01,0.1
7,pima,BaggingClassifier,0.77604,0.03159,0.77604,0.22641,0.79167,0.11064,162,1,10,0.01,0.1
7,pima,RandomForestClassifier,0.72396,0.01606,0.72396,0.2906,0.72396,0.19027,155,0,10,0.01,0.1
7,pima,AdaBoostClassifier,0.75521,0.01456,0.73958,0.4701,0.73958,0.08483,166,0,10,0.01,0.1
8,pima,BaggingClassifier,0.83333,0.02006,0.83333,0.24046,0.83333,0.09609,141,0,10,0.01,0.1
8,pima,RandomForestClassifier,0.76042,0.0164,0.76042,0.39038,0.76042,0.1631,157,0,10,0.01,0.1
8,pima,AdaBoostClassifier,0.76042,0.01624,0.74479,0.47368,0.68229,0.05942,165,1,10,0.01,0.1
9,pima,BaggingClassifier,0.75,0.02211,0.75,0.25478,0.75521,0.06673,92,5,10,0.01,0.1
9,pima,RandomForestClassifier,0.72396,0.01488,0.72396,0.21666,0.72396,0.07994,92,4,10,0.01,0.1
9,pima,AdaBoostClassifier,0.6875,0.02264,0.6875,0.45702,0.69792,0.07213,90,2,10,0.01,0.1
10,pima,BaggingClassifier,0.72396,0.02156,0.72396,0.21789,0.70312,0.05796,99,1,10,0.01,0.1
10,pima,RandomForestClassifier,0.70833,0.01909,0.70833,0.21491,0.72396,0.09085,102,1,10,0.01,0.1
10,pima,AdaBoostClassifier,0.69271,0.02726,0.71875,0.50472,0.69271,0.09461,114,1,10,0.01,0.1
1,pima,BaggingClassifier,0.68229,0.02073,0.68229,0.23054,0.68229,0.08786,137,0,10,0.05,0.01
1,pima,RandomForestClassifier,0.75521,0.0153,0.75521,0.26979,0.75521,0.08896,147,0,10,0.05,0.01
1,pima,AdaBoostClassifier,0.75521,0.01661,0.75,0.39532,0.75,0.07273,151,0,10,0.05,0.01
2,pima,BaggingClassifier,0.69792,0.02326,0.69792,0.26388,0.69792,0.07256,117,0,10,0.05,0.01
2,pima,RandomForestClassifier,0.70833,0.01477,0.70833,0.25151,0.71354,0.05307,107,1,10,0.05,0.01
2,pima,AdaBoostClassifier,0.68229,0.0178,0.67708,0.41292,0.5,0.06553,135,3,10,0.05,0.01
3,pima,BaggingClassifier,0.73438,0.01873,0.73438,0.22847,0.72917,0.06693,110,1,10,0.05,0.01
3,pima,RandomForestClassifier,0.73958,0.01433,0.73958,0.27621,0.70833,0.0707,124,2,10,0.05,0.01
3,pima,AdaBoostClassifier,0.76562,0.01522,0.77083,0.40316,0.77083,0.07125,136,0,10,0.05,0.01
4,pima,BaggingClassifier,0.73438,0.01999,0.73438,0.22843,0.72396,0.06745,110,3,10,0.05,0.01
4,pima,RandomForestClassifier,0.74479,0.01534,0.74479,0.2276,0.74479,0.05016,109,0,10,0.05,0.01
4,pima,AdaBoostClassifier,0.74479,0.01371,0.70833,0.4393,0.70833,0.05806,118,0,10,0.05,0.01
5,pima,BaggingClassifier,0.73438,0.01966,0.73438,0.19862,0.73438,0.09575,141,0,10,0.05,0.01
5,pima,RandomForestClassifier,0.72917,0.01433,0.72917,0.22911,0.72917,0.08396,155,0,10,0.05,0.01
5,pima,AdaBoostClassifier,0.72396,0.01399,0.74479,0.33596,0.74479,0.08811,149,0,10,0.05,0.01
6,pima,BaggingClassifier,0.79167,0.02155,0.79167,0.22354,0.79167,0.08378,121,0,10,0.05,0.01
6,pima,RandomForestClassifier,0.76562,0.01713,0.76562,0.26263,0.76562,0.07527,135,0,10,0.05,0.01
6,pima,AdaBoostClassifier,0.79167,0.01515,0.70312,0.42318,0.66146,0.06563,144,3,10,0.05,0.01
7,pima,BaggingClassifier,0.77604,0.02356,0.77604,0.21792,0.77604,0.10353,162,0,10,0.05,0.01
7,pima,RandomForestClassifier,0.72396,0.01722,0.72396,0.22362,0.72396,0.08544,155,0,10,0.05,0.01
7,pima,AdaBoostClassifier,0.75521,0.01316,0.73958,0.38175,0.73958,0.09717,166,0,10,0.05,0.01
8,pima,BaggingClassifier,0.83333,0.02155,0.83333,0.24614,0.83333,0.0903,141,0,10,0.05,0.01
